dataset,subject,pipeline,stressor,montage,dropout_fraction,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,0.1,0.9463810090028878,0.6674753694581281,0.2505418430241574,0.2903509337964427,22,2.0
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,0.2,0.9288296245965688,0.5865270935960591,0.3506742775337492,0.37950087571388,22,4.0
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,0.3,0.8958612196364872,0.5456773399014778,0.3808130762053058,0.4012585655943971,22,7.0
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,0.5,0.8263266519449634,0.5144704433497537,0.4271614242400834,0.4294499831520427,22,11.0
BNCI2014-001,1,riemann_lr,clean,all_channels,0.0,0.9608799048751486,0.8956896551724137,0.0831558775191525,0.1293988243045054,22,0.0
BNCI2014-001,1,riemann_lr,cross_session,all_channels,0.0,0.9591049382716048,0.8958333333333334,0.0897845746410147,0.0931027098859538,22,0.0
BNCI2014-001,1,riemann_lr,reduced_montage,motor_core,0.0,0.8576439612705963,0.7812807881773399,0.1637721488159892,0.1433059352718929,3,0.0
BNCI2014-001,1,riemann_lr,reduced_montage,motor_extended,0.0,0.9548496687616784,0.8713054187192117,0.0953106974395675,0.1180342891639041,9,0.0
BNCI2014-001,2,riemann_lr,channel_dropout,all_channels,0.1,0.6277314421606931,0.5168349753694581,0.3824334878183471,0.3667707285306131,22,2.0
BNCI2014-001,2,riemann_lr,channel_dropout,all_channels,0.2,0.5901384406319008,0.5262192118226601,0.3754440821065267,0.339966779803055,22,4.0
BNCI2014-001,2,riemann_lr,channel_dropout,all_channels,0.3,0.5492415491761509,0.5048645320197044,0.4179407780801473,0.3934348840068901,22,7.0
BNCI2014-001,2,riemann_lr,channel_dropout,all_channels,0.5,0.5160183455070494,0.5020073891625616,0.4236741039747208,0.4033660425863459,22,11.0
BNCI2014-001,2,riemann_lr,clean,all_channels,0.0,0.6956429420757602,0.6560344827586208,0.2235665054057387,0.1326619860961242,22,0.0
BNCI2014-001,2,riemann_lr,cross_session,all_channels,0.0,0.6589506172839507,0.5625,0.241204640150983,0.1603687293204871,22,0.0
BNCI2014-001,2,riemann_lr,reduced_montage,motor_core,0.0,0.5390436555121454,0.5454433497536946,0.2499437435446379,0.0912758460838757,3,0.0
BNCI2014-001,2,riemann_lr,reduced_montage,motor_extended,0.0,0.5918634278919653,0.5655172413793104,0.2439253101762661,0.093216153779569,9,0.0
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,0.1,0.9902726346186512,0.7640024630541872,0.1826509918656463,0.2518002535484533,22,2.0
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,0.2,0.9849779174452185,0.62378078817734,0.3119015793151077,0.367728406521334,22,4.0
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,0.3,0.9569874299303552,0.5948645320197045,0.3293745978741673,0.3770726976998901,22,7.0
BNCI2014-001,3,riemann_lr,channel_dropout,all_channels,0.5,0.8862085952097842,0.5218596059113301,0.4199598860087543,0.4348843344638107,22,11.0
BNCI2014-001,3,riemann_lr,clean,all_channels,0.0,0.9969084423305588,0.9758620689655172,0.0277661631588169,0.0848067470752945,22,0.0
BNCI2014-001,3,riemann_lr,cross_session,all_channels,0.0,0.998263888888889,0.9652777777777778,0.0489048111388495,0.1248594986208213,22,0.0
BNCI2014-001,3,riemann_lr,reduced_montage,motor_core,0.0,0.974859860710039,0.9166256157635468,0.0735962094732452,0.1252240200786422,3,0.0
BNCI2014-001,3,riemann_lr,reduced_montage,motor_extended,0.0,0.9942755223373536,0.9619458128078818,0.0384859811588362,0.0920778162708308,9,0.0
BNCI2014-001,4,riemann_lr,channel_dropout,all_channels,0.1,0.8509724817394259,0.5542980295566502,0.3565676326184469,0.3664540839379922,22,2.0
BNCI2014-001,4,riemann_lr,channel_dropout,all_channels,0.2,0.8047672838457619,0.53378078817734,0.3919801126657261,0.3908860419330988,22,4.0
BNCI2014-001,4,riemann_lr,channel_dropout,all_channels,0.3,0.7472057074910821,0.5073522167487685,0.4333191840142497,0.4288527301109593,22,7.0
BNCI2014-001,4,riemann_lr,channel_dropout,all_channels,0.5,0.6913317479191439,0.50814039408867,0.4401305415486856,0.4308211627086065,22,11.0
